symbol	hgncId	ncbiGeneId	ensemblGeneId
ACSL6	HGNC:16496	23305	ENSG00000164398
ACSM1	HGNC:18049	116285	ENSG00000166743
ACSM2A	HGNC:32017	123876	ENSG00000183747
ACSM2B	HGNC:30931	348158	ENSG00000066813
ACSM3	HGNC:10522	6296	ENSG00000005187
ACSM4	HGNC:32016	341392	ENSG00000215009
ACSM5	HGNC:26060	54988	ENSG00000183549
ACSM6	HGNC:31665	142827	ENSG00000173124
ACSS1	HGNC:16091	84532	ENSG00000154930
ACSS2	HGNC:15814	55902	ENSG00000131069
ACSS3	HGNC:24723	79611	ENSG00000111058
ACTBL2	HGNC:17780	345651	ENSG00000169067
ACTL7B	HGNC:162	10880	ENSG00000148156
ACTL8	HGNC:24018	81569	ENSG00000117148
ACTL10	HGNC:16127	170487	ENSG00000288649
ACTMAP	HGNC:24758	284325	ENSG00000188493
ACTR1A	HGNC:167	10121	ENSG00000138107
ACTR1B	HGNC:168	10120	ENSG00000115073
ACTR2	HGNC:169	10097	ENSG00000138071
ACTR3	HGNC:170	10096	ENSG00000115091
ACTR3B	HGNC:17256	57180	ENSG00000133627
ACTR3C	HGNC:37282	653857	ENSG00000106526
ACTR5	HGNC:14671	79913	ENSG00000101442
ACTR6	HGNC:24025	64431	ENSG00000075089
ACTR8	HGNC:14672	93973	ENSG00000113812
ACTR10	HGNC:17372	55860	ENSG00000131966
ACTRT1	HGNC:24027	139741	ENSG00000123165
ACTRT2	HGNC:24026	140625	ENSG00000169717
ACTRT3	HGNC:24022	84517	ENSG00000184378
ACVR1C	HGNC:18123	130399	ENSG00000123612
ACVR2A	HGNC:173	92	ENSG00000121989
ACY3	HGNC:24104	91703	ENSG00000132744
ACYP1	HGNC:179	97	ENSG00000119640
ACYP2	HGNC:180	98	ENSG00000170634
ADAD1	HGNC:30713	132612	ENSG00000164113
ADAD2	HGNC:30714	161931	ENSG00000140955
ADAM2	HGNC:198	2515	ENSG00000104755
ADAM7	HGNC:214	8756	ENSG00000069206
ADAM8	HGNC:215	101	ENSG00000151651
ADAM11	HGNC:189	4185	ENSG00000073670
ADAM12	HGNC:190	8038	ENSG00000148848
ADAM15	HGNC:193	8751	ENSG00000143537
ADAM18	HGNC:196	8749	ENSG00000168619
ADAM19	HGNC:197	8728	ENSG00000135074
ADAM20	HGNC:199	8748	ENSG00000134007
ADAM21	HGNC:200	8747	ENSG00000139985
ADAM23	HGNC:202	8745	ENSG00000114948
ADAM28	HGNC:206	10863	ENSG00000042980
ADAM29	HGNC:207	11086	ENSG00000168594
ADAM30	HGNC:208	11085	ENSG00000134249
ADAM32	HGNC:15479	203102	ENSG00000197140
ADAM33	HGNC:15478	80332	ENSG00000149451
ADAMDEC1	HGNC:16299	27299	ENSG00000134028
ADAMTS1	HGNC:217	9510	ENSG00000154734
ADAMTS4	HGNC:220	9507	ENSG00000158859
ADAMTS5	HGNC:221	11096	ENSG00000154736
ADAMTS6	HGNC:222	11174	ENSG00000049192
ADAMTS7	HGNC:223	11173	ENSG00000136378
ADAMTS8	HGNC:224	11095	ENSG00000134917
ADAMTS12	HGNC:14605	81792	ENSG00000151388
ADAMTS14	HGNC:14899	140766	ENSG00000138316
ADAMTS16	HGNC:17108	170690	ENSG00000145536
ADAMTS20	HGNC:17178	80070	ENSG00000173157
ADAMTSL3	HGNC:14633	57188	ENSG00000156218
ADAMTSL5	HGNC:27912	339366	ENSG00000185761
ADAP1	HGNC:16486	11033	ENSG00000105963
ADAP2	HGNC:16487	55803	ENSG00000184060
ADARB2	HGNC:227	105	ENSG00000185736
ADAT1	HGNC:228	23536	ENSG00000065457
ADAT2	HGNC:21172	134637	ENSG00000189007
ADCK1	HGNC:19038	57143	ENSG00000063761
ADCK2	HGNC:19039	90956	ENSG00000133597
ADCK5	HGNC:21738	203054	ENSG00000173137
ADCY2	HGNC:233	108	ENSG00000078295
ADCY4	HGNC:235	196883	ENSG00000129467
ADCY7	HGNC:238	113	ENSG00000121281
ADCY8	HGNC:239	114	ENSG00000155897
ADCY9	HGNC:240	115	ENSG00000162104
ADCYAP1	HGNC:241	116	ENSG00000141433
ADCYAP1R1	HGNC:242	117	ENSG00000078549
ADD2	HGNC:244	119	ENSG00000075340
ADGB	HGNC:21212	79747	ENSG00000118492
ADGRA1	HGNC:13838	84435	ENSG00000197177
ADGRA2	HGNC:17849	25960	ENSG00000020181
ADGRA3	HGNC:13839	166647	ENSG00000152990
ADGRB1	HGNC:943	575	ENSG00000181790
ADGRB2	HGNC:944	576	ENSG00000121753
ADGRB3	HGNC:945	577	ENSG00000135298
ADGRD1	HGNC:19893	283383	ENSG00000111452
ADGRD2	HGNC:18651	347088	ENSG00000180264
ADGRE1	HGNC:3336	2015	ENSG00000174837
ADGRE3	HGNC:23647	84658	ENSG00000131355
ADGRE5	HGNC:1711	976	ENSG00000123146
ADGRF1	HGNC:18990	266977	ENSG00000153292
ADGRF3	HGNC:18989	165082	ENSG00000173567
