pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
6e71a238e3709af5b6f7010257aa07da,51901,NCBIGene:4204,MECP2,7915,MONDO:0007915,systemic lupus erythematosus,4,3.5,45,7.706079496657138,0.11166253101736973,0.11780104712041885,0.6818181818181818,1,2,0,382,402,9,1,16,66,0,48,67,19
92e574d8a507fab81ce36e4934c9ab36,52865,NCBIGene:7292,TNFSF4,7915,MONDO:0007915,systemic lupus erythematosus,4,3.5,45,7.68703846635496,0.47368421052631576,0.6081081081081081,0.6818181818181818,1,2,0,74,78,9,1,16,66,0,48,67,19
e1e9411cefc7039983e918af56147f47,50773,NCBIGene:640,BLK,7915,MONDO:0007915,systemic lupus erythematosus,5,4,45,7.686378934932545,0.4639175257731959,0.5921052631578947,0.6818181818181818,1,2,0,76,80,9,1,16,66,0,48,67,19
d3403138517457f0ebe10325145c512b,51303,NCBIGene:2215,FCGR3B,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.753027512816368,0.5641025641025641,0.7857142857142857,0.6666666666666666,1,2,0,56,58,9,1,16,66,0,48,67,19
3497aa0bd65a8f003e2673a738de9303,52178,NCBIGene:5133,PDCD1,7915,MONDO:0007915,systemic lupus erythematosus,4,3.5,44,7.689949324002112,0.4782608695652174,0.6285714285714286,0.6666666666666666,1,2,0,70,73,9,1,16,66,0,48,67,19
28ed8790025b99180d135c4e2a5aaa6d,54390,NCBIGene:55024,BANK1,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
43eb2505435c136656dd13e1fb03e6c2,51710,NCBIGene:3684,ITGAM,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
4f6f2eee146c99b15b762a5312148ee2,54907,NCBIGene:79932,KIAA0319L,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.5432098765432098,0.7457627118644068,0.6666666666666666,1,2,0,59,61,9,1,16,66,0,48,67,19
6f2643ff6bec4a1dd5e3efee36f5035a,50807,NCBIGene:721,C4B,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,46,9,1,16,66,0,48,67,19
7bdcdfeeec73cfdaae64255716e45502,53495,NCBIGene:10318,TNIP1,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
7fa52d0ddd1459cf97c94dec1e75f3f6,51263,NCBIGene:2113,ETS1,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
9a168e77a1db0c1019b92782b3f2a5ae,52875,NCBIGene:7332,UBE2L3,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
b06d7462a085e53ffebed4464f72fd76,51652,NCBIGene:3500,IGHG1,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,46,9,1,16,66,0,48,67,19
d166e52b1304c88ae89c2f1714ca7f78,54368,NCBIGene:54899,PXK,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,45,9,1,16,66,0,48,67,19
e6b71158ce8889a18669453691f36431,55561,NCBIGene:221895,JAZF1,7915,MONDO:0007915,systemic lupus erythematosus,5,4,44,7.673604435893292,0.6666666666666666,1,0.6666666666666666,1,2,0,44,46,9,1,16,66,0,48,67,19
40118d72db8bbb5183b4fe0e8853c7e3,53806,NCBIGene:23224,SYNE2,57682,ORPHA:98863,X-linked Emery-Dreifuss muscular dystrophy,5,0.6718004218004218,42,1.2282470252335533,0.711864406779661,0.7241379310344828,0.9767441860465116,1,2,0,58,64,1,1,0,43,1,2,44,0
136f9718745d6bae4df051716a02f243,51743,NCBIGene:3758,KCNJ1,25284,MONDO:0100344,Bartter disease type 1,5,1.6166666666666667,40,2.81220348585107,0.7692307692307693,0.8163265306122449,0.9302325581395349,1,2,0,49,55,21,1,8,43,0,1,44,0
225d9b152962955f7fb84a92ac0dd885,52606,NCBIGene:6557,SLC12A1,9424,MONDO:0009424,Bartter disease type 2,5,1.6166666666666667,40,2.81220348585107,0.7692307692307693,0.9302325581395349,0.8163265306122449,1,2,0,43,49,16,1,8,49,0,2,50,0
ff3ea00cae372de62f0aa165938afc29,52903,NCBIGene:7421,VDR,20723,MONDO:0020723,"vitamin D-dependent rickets, type 1A",4,0.8511904761904762,40,1.9091465242697592,0.4444444444444444,0.5333333333333333,0.7272727272727273,1,2,0,75,79,11,1,3,55,0,2,57,0
18c0e28e32ab3226b856925c5e11c2de,53315,NCBIGene:9567,GTPBP1,24913,MONDO:0060711,Jaberi-Elahi syndrome,5,0.13666858444410573,40,0.2989386288310727,0.28776978417266186,1,0.28776978417266186,1,2,0,40,42,3,1,3,139,0,2,141,0
f25e1fc06ff501ade438867c8be75f28,50591,NCBIGene:94,ACVRL1,8535,MONDO:0008535,"telangiectasia, hereditary hemorrhagic, type 1",4,1.4166666666666667,38,5.503760065422734,0.40860215053763443,0.5066666666666667,0.6785714285714286,1,2,0,75,80,11,1,8,56,0,3,57,1
ce43e1b89d9b3d8f5609fbe248138bfa,51394,NCBIGene:2588,GALNS,9660,MONDO:0009660,mucopolysaccharidosis type 4B,4,1.8333333333333333,38,3.0596919729345466,0.6229508196721312,0.76,0.7755102040816326,1,2,0,50,54,13,1,12,49,0,2,51,0
2b5d10a3a8f84bcbc6e684687b879bea,53806,NCBIGene:23224,SYNE2,57695,ORPHA:98855,Autosomal recessive Emery-Dreifuss muscular dystrophy,5,0.6718004218004218,38,1.1817680578935241,0.6440677966101694,0.6551724137931034,0.9743589743589743,1,2,0,58,64,1,1,0,39,1,1,40,0
fab8c7ef931d8552486c383f3e915965,51583,NCBIGene:3162,HMOX1,9061,MONDO:0009061,cystic fibrosis,4,1.0666666666666667,37,2.414163483419374,0.40217391304347827,0.6166666666666667,0.5362318840579711,1,2,0,60,66,7,1,19,69,0,109,71,102
