pair_id,label,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
67a6371da9b87989679add6107f812b7,1,50635,NCBIGene:213,ALB,14448,MONDO:0014448,"hyperthyroxinemia, familial dysalbuminemic",0,0,6,2.1514796635042863,0.15384615384615385,0.15384615384615385,1,1,2,0,39,44,10,1,7,6,0,2,9,0
67a6371da9b87989679add6107f812b7,1,50635,NCBIGene:213,ALB,14448,MONDO:0014448,"hyperthyroxinemia, familial dysalbuminemic",0,0,6,2.1514796635042863,0.15384615384615385,0.15384615384615385,1,1,2,0,39,44,10,1,7,6,0,2,9,0
6f0d6c698ecb7ecc4a1fea7c68970221,1,50611,NCBIGene:155,ADRB3,19182,MONDO:0019182,inherited obesity,0,0,6,2.087111891767006,1,1,1,1,2,0,6,9,12,1,5,6,0,28,9,1
6f0d6c698ecb7ecc4a1fea7c68970221,1,50611,NCBIGene:155,ADRB3,19182,MONDO:0019182,inherited obesity,0,0,6,2.087111891767006,1,1,1,1,2,0,6,9,12,1,5,6,0,28,9,1
15c05af328d10c00e54061c250bbe77d,1,50618,NCBIGene:176,ACAN,59573,ORPHA:435804,Short stature-advanced bone age-early-onset osteoarthritis syndrome,0,0,5,0.12013947748354187,0.06666666666666667,0.06666666666666667,1,1,2,0,75,85,1,1,0,5,0,1,5,0
1718338cc48984f87930de843bbd4aa9,1,50580,NCBIGene:59,ACTA2,57304,ORPHA:2573,Moyamoya disease,0,0,5,0.06256194746759045,0.06097560975609756,0.06097560975609756,1,1,2,0,82,95,1,1,0,5,0,3,5,0
17b3659363f47690b5caa301bd923baf,1,50600,NCBIGene:112,ADCY6,57724,ORPHA:2680,Hypomyelination neuropathy-arthrogryposis syndrome,0,0,5,0.03614164521027266,0.2,0.2,1,1,2,0,25,28,1,1,0,5,0,3,5,0
4d2ac39356d4598d78fc749800663225,1,50581,NCBIGene:60,ACTB,26969,MONDO:0957564,"congenital smooth muscle hamartoma, with or without hemihypertrophy",0,0,5,0.34203566393480894,0.02304147465437788,0.02304147465437788,1,1,2,0,217,233,1,1,3,5,0,2,6,0
4d2ac39356d4598d78fc749800663225,1,50581,NCBIGene:60,ACTB,26969,MONDO:0957564,"congenital smooth muscle hamartoma, with or without hemihypertrophy",0,0,5,0.34203566393480894,0.02304147465437788,0.02304147465437788,1,1,2,0,217,233,1,1,3,5,0,2,6,0
7b8593fc6ca67fbe49745b3dfb4e8f71,1,50562,NCBIGene:19,ABCA1,11393,MONDO:0011393,"hypoalphalipoproteinemia, primary, 1",0,0,5,0.44021753040640726,0.08196721311475409,0.08196721311475409,1,1,2,0,61,68,10,1,5,5,0,2,7,0
7b8593fc6ca67fbe49745b3dfb4e8f71,1,50562,NCBIGene:19,ABCA1,11393,MONDO:0011393,"hypoalphalipoproteinemia, primary, 1",0,0,5,0.44021753040640726,0.08196721311475409,0.08196721311475409,1,1,2,0,61,68,10,1,5,5,0,2,7,0
8c0efe58ede62fffef0415dc2ec5c3f9,1,50589,NCBIGene:91,ACVR1B,15278,MONDO:0015278,familial pancreatic carcinoma,0,0,5,0.7626061958216385,1,1,1,1,2,0,5,8,9,1,9,5,0,10,7,0
8c0efe58ede62fffef0415dc2ec5c3f9,1,50589,NCBIGene:91,ACVR1B,15278,MONDO:0015278,familial pancreatic carcinoma,0,0,5,0.7626061958216385,1,1,1,1,2,0,5,8,9,1,9,5,0,10,7,0
a2a5178e08250cf9f00bb1e7c8ab8a9d,1,50643,NCBIGene:240,ALOX5,10940,MONDO:0010940,inherited susceptibility to asthma,0,0,5,2.1849518501284177,1,1,1,1,2,0,5,7,7,1,5,5,0,25,6,0
a2a5178e08250cf9f00bb1e7c8ab8a9d,1,50643,NCBIGene:240,ALOX5,10940,MONDO:0010940,inherited susceptibility to asthma,0,0,5,2.1849518501284177,1,1,1,1,2,0,5,7,7,1,5,5,0,25,6,0
