rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
70,0.685674,0.685674,novel_candidate,true,e4646aebb294257464695b9fac75eb11,51898,NCBIGene:4191,MDH2,7273,MONDO:0007273,pheochromocytoma/paraganglioma syndrome 4,4,0.7,10,1.1728535353535354,0.11235955056179775,0,0,0,0,0,,
73,0.671433,0.671433,novel_candidate,true,52bcbf83193e70b21935944592cc5ebf,53118,NCBIGene:8710,SERPINB7,59435,ORPHA:2199,Epidermolytic palmoplantar keratoderma,4,0.07724718083830166,4,0.07724718083830166,0.16,0,0,0,0,0,,
75,0.6607,0.6607,novel_candidate,true,11b61241483cf80640987c5d4e889d44,54532,NCBIGene:55851,PSENEN,22288,MONDO:0024534,Dowling-Degos disease 1,7,5.583333333333333,26,6.637185731869475,0.7647058823529411,0,0,0,0,0,,
80,0.652871,0.652871,novel_candidate,true,e7efd2e79c9d17e3be81c4587aff39dd,54955,NCBIGene:80336,PABPC1L,26695,MONDO:0859330,oocyte maturation defect 13,4,0.16401549369859422,4,0.16401549369859422,0.5714285714285714,0,0,0,0,0,,
89,0.641994,0.641994,novel_candidate,true,2b9529b3b2664aa7a49c89ee1dd4ccf7,54346,NCBIGene:54806,AHI1,19200,MONDO:0019200,retinitis pigmentosa,4,2.253968253968254,32,2.785966332629701,0.2191780821917808,0,0,0,0,0,,
94,0.63384,0.63384,novel_candidate,true,46cec5ddf0533e3d9fdd78f1afc8f66e,51164,NCBIGene:1786,DNMT1,58987,ORPHA:2073,Narcolepsy type 1,4,0.53003663003663,7,0.5718574374094234,0.07526881720430108,0,0,0,0,0,,
95,0.631755,0.631755,novel_candidate,true,b058ef7f346d02159d2a4214ea272087,54326,NCBIGene:54585,LZTFL1,7804,MONDO:0007804,Pallister-Hall syndrome,4,0.9928571428571429,23,1.089668537008632,0.08394160583941605,0,0,0,0,0,,
96,0.631584,0.631584,novel_candidate,true,64b423da9ec6b9977b208294963ab45e,51793,NCBIGene:3892,KRT86,20717,MONDO:0020717,autosomal dominant wooly hair,4,0.12056168728783691,5,0.12083618632709027,0.16666666666666666,0,0,0,0,0,,
98,0.625833,0.625833,novel_candidate,true,00b61a5228e60fdde33dfafd93b76f3d,55691,NCBIGene:348938,NIPAL4,56443,ORPHA:79395,Keratoderma hereditarium mutilans with ichthyosis,4,0.2674029920523609,8,0.3152976185564478,0.14035087719298245,0,0,0,0,0,,
100,0.617606,0.617606,novel_candidate,true,2dd9ea1e83686ae42c45ea63a4bcfcc6,51898,NCBIGene:4191,MDH2,8192,MONDO:0008192,pheochromocytoma/paraganglioma syndrome 1,4,0.7,10,1.084288372446267,0.10638297872340426,0,0,0,0,0,,
101,0.617398,0.617398,novel_candidate,true,7822ec7eb779bbbe5601397b1d18c58c,52665,NCBIGene:6697,SPR,56917,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,4,0.8916666666666667,7,0.9144305577458866,0.11864406779661017,0,0,0,0,0,,
104,0.606245,0.606245,novel_candidate,true,ecb9fef72dfe4e8cdf07af606cdabbbb,51067,NCBIGene:1500,CTNND1,14772,MONDO:0014772,orofacial cleft 15,4,0.6707606119370825,6,0.6727073517790114,0.13333333333333333,0,0,0,0,0,,
107,0.589067,0.589067,novel_candidate,true,32106d276f8158c780ae8ddb35431c2b,52366,NCBIGene:5698,PSMB9,23597,MONDO:0033557,"hemophagocytic lymphohistiocytosis, familial, 6",4,1.6666666666666667,9,1.7116195351897956,0.14516129032258066,0,0,0,0,0,,
108,0.587641,0.587641,novel_candidate,true,031beb86eb04ef47165de2b8c930bc42,53118,NCBIGene:8710,SERPINB7,56443,ORPHA:79395,Keratoderma hereditarium mutilans with ichthyosis,4,0.07957340626062236,4,0.07957340626062236,0.14814814814814814,0,0,0,0,0,,
109,0.587065,0.587065,novel_candidate,true,6fbc857612d70a7664ac9da0823b8854,53578,NCBIGene:10659,CELF2,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.48596491228070177,10,0.5190671434841359,0.11363636363636363,0,0,0,0,0,,
112,0.57662,0.57662,novel_candidate,true,26b10a6ca275c26fd9ef529aa803778a,53348,NCBIGene:9711,RUBCN,58617,ORPHA:1175,X-linked progressive cerebellar ataxia,4,0.08546651889043193,6,0.08855571590371582,0.11764705882352941,0,0,0,0,0,,
113,0.573789,0.573789,novel_candidate,true,2092e76c122561e85e5687649914d070,51735,NCBIGene:3745,KCNB1,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.48596491228070177,10,0.5030648124818048,0.12048192771084337,0,0,0,0,0,,
116,0.558787,0.558787,novel_candidate,true,0b71fe12803d8b9129838898982c322d,53417,NCBIGene:10013,HDAC6,7983,MONDO:0007983,Schmid metaphyseal chondrodysplasia,4,1.9059782608695652,6,1.9262431429765525,0.058823529411764705,0,0,0,0,0,,
120,0.554644,0.554644,novel_candidate,true,a6861993e8ba65d9cfbc8d70f49b1c49,55128,NCBIGene:84896,ATAD1,58452,ORPHA:1901,Dermatosparaxis Ehlers-Danlos syndrome,4,0.08798053601746302,8,0.10277478866612853,0.11267605633802817,0,0,0,0,0,,
122,0.549433,0.549433,novel_candidate,true,10c948dfb3341fe2a87fdda662332726,54642,NCBIGene:57502,NLGN4X,10321,MONDO:0010321,"autism, susceptibility to, X-linked 1",4,0.7927350427350427,14,1.0372897314065235,0.4375,0,0,0,0,0,,
124,0.54511,0.54511,novel_candidate,true,dd6fde837d02978bdcb2c2dbfc10912b,53118,NCBIGene:8710,SERPINB7,56657,ORPHA:79501,Punctate palmoplantar keratoderma type 1,4,0.07957340626062236,4,0.07957340626062236,0.11428571428571428,0,0,0,0,0,,
126,0.544517,0.544517,novel_candidate,true,75962629e0f144775b705e5488787844,52965,NCBIGene:7818,DAP3,56818,ORPHA:572333,Blepharophimosis-ptosis-epicanthus inversus syndrome plus,4,0.08690705128205128,4,0.08690705128205128,0.0784313725490196,0,0,0,0,0,,
127,0.543094,0.543094,novel_candidate,true,fc147fbbb50c158b2c0b2a9050e3ef09,50824,NCBIGene:774,CACNA1B,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.48596491228070177,12,0.5247962861363554,0.125,0,0,0,0,0,,
130,0.526208,0.526208,novel_candidate,true,88c5f49536a995ac40a76ac3453fc5d4,52144,NCBIGene:5009,OTC,8988,MONDO:0008988,citrullinemia type I,4,0.7833333333333333,21,1.146759405580271,0.3230769230769231,0,0,0,0,0,,
131,0.523459,0.523459,novel_candidate,true,634fb07ab09bd127a79d3032e87d0b45,54804,NCBIGene:65217,PCDH15,59605,ORPHA:231183,Usher syndrome type 3,4,0.21990392648287385,10,0.27953332800200276,0.30303030303030304,0,0,0,0,0,,
132,0.519173,0.519173,novel_candidate,true,f665fbab7d58435d7197048ab77d082c,54855,NCBIGene:79641,ROGDI,9007,MONDO:0009007,Jalili syndrome,4,0.18875162777601803,5,0.18898429413246287,0.0847457627118644,0,0,0,0,0,,
136,0.504863,0.504863,novel_candidate,true,6e7523ba6a46d564abbfc39e36f79fe2,51095,NCBIGene:1591,CYP24A1,57559,ORPHA:157215,Hereditary hypophosphatemic rickets with hypercalciuria,4,0.16706755576724616,4,0.16706755576724616,0.125,0,0,0,0,0,,
137,0.495891,0.495891,novel_candidate,true,51b3f14d8c56249f99bc4d79d9a1d273,52620,NCBIGene:6591,SNAI2,13201,MONDO:0013201,Waardenburg syndrome type 4B,4,0.2145029239766082,8,0.30887537260626174,0.23529411764705882,0,0,0,0,0,,
140,0.489767,0.489767,novel_candidate,true,d47171c89074025cbd0c5df9fa54b1b5,51467,NCBIGene:2774,GNAL,56373,ORPHA:464440,"Primary dystonia, DYT27 type",4,0.1870865452955005,4,0.20201191842982888,0.21052631578947367,0,0,0,0,0,,
141,0.487002,0.487002,novel_candidate,true,2ad864c64e0b5c92f15a906f62d40852,53951,NCBIGene:25973,PARS2,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.4718862373324616,13,0.4991519980153712,0.13402061855670103,0,0,0,0,0,,
142,0.475699,0.475699,novel_candidate,true,83bcc246a082bb7cc496f80c68a24967,52965,NCBIGene:7818,DAP3,56255,ORPHA:251510,"46,XY partial gonadal dysgenesis",4,0.08208653846153846,4,0.08208653846153846,0.06779661016949153,0,0,0,0,0,,
145,0.456267,0.456267,novel_candidate,true,99e054a7c44356b1f547b71f1e01f93a,51233,NCBIGene:2034,EPAS1,7273,MONDO:0007273,pheochromocytoma/paraganglioma syndrome 4,4,0.7,10,1.1255089867737411,0.17857142857142858,0,0,0,0,0,,
148,0.444504,0.444504,novel_candidate,true,b3b5013d6b74b8cb8c1832cdd0dbbbf2,55187,NCBIGene:90523,MLIP,9865,MONDO:0009865,glycogen storage disease due to phosphoglycerate mutase deficiency,4,0.11682158421288856,7,0.12737739335071008,0.2692307692307692,0,0,0,0,0,,
150,0.44233,0.44233,novel_candidate,true,162a049786424bfc22e474df1949debc,53953,NCBIGene:25977,NECAP1,59274,ORPHA:289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,4,0.474937343358396,11,0.5067109623301406,0.13924050632911392,0,0,0,0,0,,
151,0.441304,0.441304,novel_candidate,true,539a560576ac0284db76ccb5929b8db1,52845,NCBIGene:7234,TRU-TCA1-1,14448,MONDO:0014448,"hyperthyroxinemia, familial dysalbuminemic",4,1.075,5,1.0752326663564449,0.35714285714285715,0,0,0,0,0,,
152,0.44102,0.44102,novel_candidate,true,6ff547be79fbb01980a356d3db72c129,55727,NCBIGene:388962,BOLA3,14803,MONDO:0014803,spasticity-ataxia-gait anomalies syndrome,5,0.6051217858446775,10,0.6108432951724596,0.20833333333333334,0,0,0,0,0,,
154,0.438293,0.438293,novel_candidate,true,b7c7b8e00f2b8a245d163cc859ffef2a,52620,NCBIGene:6591,SNAI2,13202,MONDO:0013202,Waardenburg syndrome type 4C,4,0.2145029239766082,8,0.30887537260626174,0.21621621621621623,0,0,0,0,0,,
156,0.434558,0.434558,novel_candidate,true,eb7279d676bf10b494d3a9df72a8b70e,51829,NCBIGene:3991,LIPE,58641,ORPHA:435651,CIDEC-related familial partial lipodystrophy,4,0.4912087912087912,13,0.6611327294819692,0.29545454545454547,0,0,0,0,0,,
158,0.426964,0.426964,novel_candidate,true,b8e3e5d5faf9f09fa60deb5811536dcd,51165,NCBIGene:1788,DNMT3A,59289,ORPHA:29072,Hereditary pheochromocytoma-paraganglioma,6,1.0666666666666667,36,2.490582694046161,0.2589928057553957,0,0,0,0,0,,
161,0.419625,0.419625,novel_candidate,true,d9ae389e79ccc7ceae1e3e67f5a7b0d0,51095,NCBIGene:1591,CYP24A1,11013,MONDO:0011013,autosomal dominant hypocalcemia 1,4,0.1104008891005795,4,0.1104008891005795,0.125,0,0,0,0,0,,
163,0.414464,0.414464,novel_candidate,true,6ac0408376564a2dd72a6d15fba61f70,52215,NCBIGene:5230,PGK1,9295,MONDO:0009295,glycogen storage disease VII,4,0.2506211180124224,9,0.3163814137596268,0.15,0,0,0,0,0,,
165,0.411509,0.411509,novel_candidate,true,88974a8e2035d3fc62540155bd4484cd,50906,NCBIGene:1029,CDKN2A,18875,MONDO:0018875,Li-Fraumeni syndrome,4,2.3333333333333335,37,5.137407970368109,0.30327868852459017,0,0,0,0,0,,
171,0.401658,0.401658,novel_candidate,true,d77f4c7b29cd3a01fa4fe3422677b9ba,53521,NCBIGene:10456,HAX1,59338,ORPHA:486,Autosomal dominant severe congenital neutropenia,4,0.09789670902574128,4,0.09789670902574128,0.0975609756097561,0,0,0,0,0,,
173,0.400344,0.400344,novel_candidate,true,642ac03c0e63a4a18b881dbc6b10e72e,55261,NCBIGene:113612,CYP2U1,59111,ORPHA:447760,Autosomal recessive spastic paraplegia type 9B,4,0.07709705503823151,7,0.08315148156591698,0.125,0,0,0,0,0,,
175,0.393316,0.393316,novel_candidate,true,52da23a12a299b2739a0817de8c0fd2c,55495,NCBIGene:170691,ADAMTS17,11106,MONDO:0011106,facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,4,0.43846371882086166,7,0.47637003062152844,0.1111111111111111,0,0,0,0,0,,
176,0.391577,0.391577,novel_candidate,true,7ce1ef45ce5164a1918870e856824a1e,54317,NCBIGene:54507,ADAMTSL4,15017,MONDO:0015017,anterior segment dysgenesis 8,4,0.2946335807050093,6,0.2981338147836046,0.20689655172413793,0,0,0,0,0,,
177,0.390578,0.390578,novel_candidate,true,7bef68111ae086256da69e8f2f9f5414,54283,NCBIGene:51807,TUBA8,26975,MONDO:0957580,"bleeding disorder, platelet-type, 25",4,0.3047619047619048,7,0.3127582210185902,0.21875,0,0,0,0,0,,
178,0.389546,0.389546,novel_candidate,true,c41bdaf5c9c5567ae6a5e0a069448f86,52620,NCBIGene:6591,SNAI2,8671,MONDO:0008671,Waardenburg syndrome type 2A,4,0.2145029239766082,8,0.2633327261068931,0.21052631578947367,0,0,0,0,0,,
179,0.388894,0.388894,novel_candidate,true,856f61bbf80c327a66d090e385cd15a7,52965,NCBIGene:7818,DAP3,12861,MONDO:0012861,premature ovarian failure 6,5,0.09490705128205128,5,0.09490705128205128,0.20833333333333334,0,0,0,0,0,,
180,0.387883,0.387883,novel_candidate,true,ecd70f2610edeee590222f99572a6714,52869,NCBIGene:7299,TYR,56003,ORPHA:79432,Oculocutaneous albinism type 2,4,0.5452380952380952,16,0.9942663204251639,0.19753086419753085,0,0,0,0,0,,
181,0.385778,0.385778,novel_candidate,true,f6d56913678be1f74e722a93db403a9f,55767,NCBIGene:643418,LIPN,8251,MONDO:0008251,familial pityriasis rubra pilaris,4,0.12120730570387321,7,0.1511022104189218,0.15217391304347827,0,0,0,0,0,,
182,0.378101,0.378101,novel_candidate,true,823c7c10646b221b761859c2f6927c14,51100,NCBIGene:1605,DAG1,58946,ORPHA:559,Marinesco-Sjögren syndrome,4,0.7242424242424242,19,0.8795294349900877,0.11949685534591195,0,0,0,0,0,,
183,0.375728,0.375728,novel_candidate,true,e2a1155c19e1882355d32fe59a0bad70,54642,NCBIGene:57502,NLGN4X,10342,MONDO:0010342,"autism, susceptibility to, X-linked 3",4,0.7927350427350427,14,1.0372897314065235,0.42424242424242425,0,0,0,0,0,,
184,0.374866,0.374866,novel_candidate,true,3a1fbd0fb18f27a94dfb5e07a3b2febd,51598,NCBIGene:3208,HPCA,57796,ORPHA:98806,"Primary dystonia, DYT6 type",4,0.09271128231558638,5,0.10392851783188731,0.21739130434782608,0,0,0,0,0,,
189,0.365912,0.365912,novel_candidate,true,a071855ede9e1e7bf219ea80090f1ffb,51375,NCBIGene:2539,G6PD,57996,ORPHA:766,Hemolytic anemia due to red cell pyruvate kinase deficiency,4,0.13498318621269442,6,0.15003144011777847,0.1935483870967742,0,0,0,0,0,,
190,0.363568,0.363568,novel_candidate,true,6cf7976226e18676dd0b17746ef40d34,51233,NCBIGene:2034,EPAS1,8192,MONDO:0008192,pheochromocytoma/paraganglioma syndrome 1,4,0.7,12,1.0862577867397578,0.2033898305084746,0,0,0,0,0,,
191,0.363126,0.363126,novel_candidate,true,11196a72134f05f54282085e1734099a,55187,NCBIGene:90523,MLIP,56163,ORPHA:228302,"Carnitine palmitoyl transferase II deficiency, myopathic form",4,0.11682158421288856,6,0.12714472699426524,0.15384615384615385,0,0,0,0,0,,
192,0.36162,0.36162,novel_candidate,true,07facbbb9c1e7e2e55ca347e8d1a7678,55283,NCBIGene:116442,RAB39B,10820,MONDO:0010820,autosomal recessive juvenile Parkinson disease 2,4,0.17689853719265483,11,0.219231140038096,0.1864406779661017,0,0,0,0,0,,
195,0.345884,0.345884,novel_candidate,true,d0afec40fdf724f7a2785e910e29a21b,55512,NCBIGene:199713,NLRP7,27485,MONDO:0979232,oocyte/zygote/embryo maturation arrest 24,4,0.6654777425963867,5,0.6657104089528315,0.5,0,0,0,0,0,,
198,0.330366,0.330366,novel_candidate,true,c4878a47ec38aebe097c42a584750a29,54972,NCBIGene:81545,FBXO38,57678,ORPHA:482601,Adenylosuccinate synthetase-like 1-related distal myopathy,4,0.23694784758907497,4,0.23694784758907497,0.08163265306122448,0,0,0,0,0,,
200,0.32838,0.32838,novel_candidate,true,8ab55bd3e432255d75c46889a9d5248e,53260,NCBIGene:9361,LONP1,10717,MONDO:0010717,pyruvate dehydrogenase E1-alpha deficiency,4,1.4166666666666667,62,3.389370236583499,0.31958762886597936,0,0,0,0,0,,
201,0.325361,0.325361,novel_candidate,true,13b117440b1a09212cee54d14d282395,53416,NCBIGene:10011,SRA1,19154,MONDO:0019154,androgen insensitivity syndrome,4,0.08369240795047246,4,0.08369240795047246,0.18181818181818182,0,0,0,0,0,,
202,0.325361,0.325361,novel_candidate,true,7b46f6b21e26f839abbaadbce197e70a,50749,NCBIGene:558,AXL,19154,MONDO:0019154,androgen insensitivity syndrome,4,0.08369240795047246,4,0.08369240795047246,0.18181818181818182,0,0,0,0,0,,
203,0.324551,0.324551,novel_candidate,true,677895bdf977243530a59ce5e3f608cf,52977,NCBIGene:7873,MANF,13518,MONDO:0013518,"pituitary hormone deficiency, combined, 6",4,0.1891233766233766,5,0.1896864396864397,0.18518518518518517,0,0,0,0,0,,
204,0.322184,0.322184,novel_candidate,true,6a5a2287acd1055839880dcc8acb40b4,53744,NCBIGene:22978,NT5C2,56607,ORPHA:209951,Autosomal spastic paraplegia type 18,4,0.08947936586268583,10,0.10312398804369032,0.14925373134328357,0,0,0,0,0,,
205,0.321179,0.321179,novel_candidate,true,4267c85a1da20a6a2eacefef50fdac35,55433,NCBIGene:149371,EXOC8,23634,MONDO:0033650,"mitochondrial complex IV deficiency, nuclear type 15",4,0.07999206195368243,7,0.08223337145885919,0.16666666666666666,0,0,0,0,0,,
