rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
17,0.543008,0.135752,same_family_shared_ancestor,false,2b8a877437d68bf7707744e59eeaf0bc,54082,NCBIGene:29089,UBE2T,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,110,3.56051375677385,0.7333333333333333,0,0,0,0,2,,Fanconi anemia complementation group T via Fanconi anemia
20,0.543008,0.135752,same_family_shared_ancestor,false,e36e277ea4f42f3e41f3765d310990a6,53524,NCBIGene:10459,MAD2L2,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,109,3.5478682102030836,0.7364864864864865,0,0,0,0,2,,Fanconi anemia complementation group V via Fanconi anemia
22,0.543008,0.135752,same_family_shared_ancestor,false,bed7aa2a02359b8d5daf61ea6b5267f6,54416,NCBIGene:55159,RFWD3,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,108,3.5124408845651884,0.6878980891719745,0,0,0,0,2,,"Fanconi anemia, complementation group W via Fanconi anemia"
32,0.536725,0.134181,same_family_shared_ancestor,false,6fac312056d4935de42562e2211b1677,51242,NCBIGene:2057,EPOR,9892,MONDO:0009892,Chuvash polycythemia,5,0.9170995670995671,8,0.9441370645880139,0.2,0,0,0,0,2,,primary familial polycythemia due to EPO receptor mutation via familial polycythemia
33,0.536725,0.134181,same_family_shared_ancestor,false,9da1de9e3537cf865191deaf0cd5acd7,52347,NCBIGene:5625,PRODH,9401,MONDO:0009401,hyperprolinemia type 2,4,0.5833333333333334,7,0.6959350685113423,0.22580645161290322,0,0,0,0,2,,hyperprolinemia type 1 via hyperprolinemia
45,0.501374,0.125343,same_family_shared_ancestor,false,8601ede272e56e0a548a4245d2799dbd,51374,NCBIGene:2538,G6PC1,9288,MONDO:0009288,glycogen storage disease Ib,4,0.5533834586466165,25,0.972521234074918,0.36764705882352944,0,0,0,0,2,,glycogen storage disease due to glucose-6-phosphatase deficiency type IA via glycogen storage disease I
25,0.536725,0.107345,same_family_ancestor_link,false,2ef39a3cd2f25d50ad9b3d56ad5e2b0d,54006,NCBIGene:26580,BSCL2,12071,MONDO:0012071,congenital generalized lipodystrophy type 1,4,1.5,35,3.1106755498132572,0.2046783625730994,0,0,3,0,2,congenital generalized lipodystrophy (depth 1) | Berardinelli-Seip congenital lipodystrophy (depth 1),congenital generalized lipodystrophy type 2 via congenital generalized lipodystrophy
34,0.536725,0.107345,same_family_ancestor_link,false,1b065adadd10d1adc03dcbc02ce4da6f,50964,NCBIGene:1203,CLN5,8083,MONDO:0008083,"ceroid lipofuscinosis, neuronal, 4 (Kufs type)",4,0.6444444444444445,7,0.6488090423629398,0.18421052631578946,0,0,1,0,2,neuronal ceroid lipofuscinosis (depth 2),neuronal ceroid lipofuscinosis 5 via neuronal ceroid lipofuscinosis
35,0.536725,0.107345,same_family_ancestor_link,false,8d24e55092e2f30a756c9a85e7e0bd2a,50964,NCBIGene:1203,CLN5,8768,MONDO:0008768,"ceroid lipofuscinosis, neuronal, 6B (Kufs type)",4,0.6444444444444445,7,0.6486267709600486,0.17073170731707318,0,0,1,0,2,neuronal ceroid lipofuscinosis (depth 1),neuronal ceroid lipofuscinosis 5 via neuronal ceroid lipofuscinosis
