rank,prediction_score,pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard
29,0.452696,813409f1f2c5856ecc113b5535c293ec,55650,NCBIGene:326625,MMAB,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,4,0.5462662337662337,19,0.6075449088765162,0.2375
30,0.452696,039571bbba7fd4832518bd13ae55d027,52396,NCBIGene:5826,ABCD4,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,6,0.691468253968254,17,0.7874392585166544,0.19767441860465115
31,0.452696,d450380429f3117851d1884ad9c4546f,54072,NCBIGene:28960,DCPS,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,5,0.03211524637674645,13,0.043911703104154105,0.11926605504587157
32,0.452696,dbf6ad303ff6f63f9fa5aeb32937b9ac,51545,NCBIGene:3054,HCFC1,10184,MONDO:0010184,methylmalonic aciduria and homocystinuria type cblC,4,0.22056159420289856,12,0.22629090317523773,0.16
33,0.452696,6b114c9d8c7ae36f10e3d947001d8070,55130,NCBIGene:84905,ZNF341,7818,MONDO:0007818,"hyper-IgE recurrent infection syndrome 1, autosomal dominant",4,0.11499298264004146,10,0.14821968469642216,0.13513513513513514
34,0.452696,3d23fda4cdd7c6b5e4a73b6fc3475391,54133,NCBIGene:50617,ATP6V0A4,9216,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,5,0.09734062299618643,10,0.10342636949895631,0.136986301369863
35,0.452696,89676edf32ae570050c0ad0c77441881,53972,NCBIGene:26115,TANC2,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,6,0.03497355608100335,10,0.04005755832089887,0.09345794392523364
36,0.452696,c68c9245086caa2c7c494c61b040e1ab,55353,NCBIGene:129685,TAF8,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,5,0.14198007645376065,9,0.15092848754411267,0.08490566037735849
37,0.452696,1dd973dc0f1b9c6c4359a6e2958d50de,53276,NCBIGene:9414,TJP2,9216,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,4,0.1365909090909091,9,0.14919351257891844,0.11842105263157894
38,0.452696,efeaaa73dc8be076467ba60d58657d3c,53394,NCBIGene:9922,IQSEC1,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,5,0.0197141767984998,8,0.022572547754534326,0.0761904761904762
39,0.452696,e723cca9b505feb097ae7e1c861a9137,54422,NCBIGene:55180,LINS1,10283,MONDO:0010283,syndromic X-linked intellectual disability Lubs type,5,0.0115846237027624,8,0.014174286367958621,0.07766990291262135
40,0.452696,f70ea659a6b7cd8c405b6b2903d0d660,50751,NCBIGene:570,BAAT,9216,MONDO:0009216,glycogen storage disease due to GLUT2 deficiency,5,0.09017364892566325,7,0.09103170615140141,0.09722222222222222
