rank,prediction_score,novelty_adjusted_score,novelty_bucket,strict_novelty_pass,pair_id,geneConceptId,gene_curie,gene_label,diseaseConceptId,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,exact_match_count,equivalent_match_count,ancestor_match_count,descendant_match_count,shared_family_match_count,existing_match_examples,shared_family_examples
21,0.998881,0.24972,same_family_shared_ancestor,false,fdc9e06a79b2bacb8e6b89384bffa33d,55442,NCBIGene:151254,CATSPERT,22915,MONDO:0030732,spermatogenic failure 69,4,0.10850652897910319,4,0.10850652897910319,1,0,0,0,0,2,,spermatogenic failure 68 via spermatogenic failure
22,0.998865,0.249716,same_family_shared_ancestor,false,e1f8a5968e827693af545f3e1aba4b1c,50659,NCBIGene:284,ANGPT1,22548,MONDO:0025713,"angioedema, hereditary, 7",6,1.047893546658301,6,1.047893546658301,0.8571428571428571,0,0,0,0,2,,"angioedema, hereditary, 5 via angioedema"
23,0.998763,0.249691,same_family_shared_ancestor,false,5b01b561cbb785f8d48cb533b01fc483,53989,NCBIGene:26249,KLHL3,13777,MONDO:0013777,pseudohypoaldosteronism type 2B,6,0.48430785829947287,6,0.48430785829947287,0.75,0,0,0,0,3,,pseudohypoaldosteronism type 2A via pseudohypoaldosteronism type 2 | pseudohypoaldosteronism type 2D via pseudohypoaldosteronism type 2
24,0.99873,0.249683,same_family_shared_ancestor,false,5c6561689dca4108c5dd8661b9fcdfbb,55307,NCBIGene:122481,AK7,24767,MONDO:0054723,spermatogenic failure 19,7,0.09941552878770106,7,0.09941552878770106,0.875,0,0,0,0,2,,spermatogenic failure 27 via spermatogenic failure
25,0.99873,0.249683,same_family_shared_ancestor,false,6e10dc281c68246de3b03f700f852b34,55398,NCBIGene:144406,CFAP251,24767,MONDO:0054723,spermatogenic failure 19,7,0.09941552878770106,7,0.09941552878770106,0.875,0,0,0,0,2,,spermatogenic failure 33 via spermatogenic failure
26,0.998672,0.249668,same_family_shared_ancestor,false,26bc9ecc7fbcc442f88b7f9575c2c876,55041,NCBIGene:84074,QRICH2,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.8571428571428571,0,0,0,0,2,,spermatogenic failure 35 via spermatogenic failure
27,0.998672,0.249668,same_family_shared_ancestor,false,f764dd55199897bc6c9636b03d623015,53556,NCBIGene:10566,AKAP3,24768,MONDO:0054724,spermatogenic failure 20,6,0.08302208616475025,6,0.08302208616475025,0.8571428571428571,0,0,0,0,2,,spermatogenic failure 82 via spermatogenic failure
28,0.998577,0.249644,same_family_shared_ancestor,false,8351235120e78279db8f383a0501c425,50791,NCBIGene:676,BRDT,14961,MONDO:0014961,spermatogenic failure 16,5,0.149899971602054,5,0.149899971602054,1,0,0,0,0,2,,spermatogenic failure 21 via spermatogenic failure
29,0.998449,0.249612,same_family_shared_ancestor,false,11c6af55fb616dd7b0cc9df3747ebeed,50866,NCBIGene:881,CCIN,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,0.5,0,0,0,0,2,,spermatogenic failure 91 via spermatogenic failure
32,0.998345,0.249586,same_family_shared_ancestor,false,540693db88cde5d26d97913cadff5d4e,55307,NCBIGene:122481,AK7,23262,MONDO:0032686,spermatogenic failure 35,7,0.2258792290218931,7,0.2258792290218931,0.875,0,0,0,0,2,,spermatogenic failure 27 via spermatogenic failure
33,0.998327,0.249582,same_family_shared_ancestor,false,b5a5d144feb94be2791b9ecc76af4476,54991,NCBIGene:81833,SPACA1,13505,MONDO:0013505,spermatogenic failure 9,4,0.10850652897910319,4,0.10850652897910319,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 85 via spermatogenic failure
34,0.99824,0.24956,same_family_shared_ancestor,false,e4cb059efcb0a58b1a07a8eb6b9fb54b,55397,NCBIGene:144245,ALG10B,13062,MONDO:0013062,long QT syndrome 12,4,0.13098421739084704,6,0.1396620777746382,0.5,0,0,0,0,2,,long QT syndrome 2 via long QT syndrome
35,0.998166,0.249541,same_family_shared_ancestor,false,4551e7a26bccd671bae0c3d76cdafeec,55579,NCBIGene:255101,CFAP65,22951,MONDO:0030844,spermatogenic failure 47,6,0.13583036963102474,6,0.13583036963102474,0.8571428571428571,0,0,0,0,2,,spermatogenic failure 40 via spermatogenic failure
36,0.998165,0.249541,same_family_shared_ancestor,false,449c100ad8834f5f0b9a0a938da80021,51156,NCBIGene:1769,DNAH8,22967,MONDO:0030868,spermatogenic failure 49,7,0.10131773583562205,7,0.10131773583562205,0.875,0,0,0,0,2,,spermatogenic failure 46 via spermatogenic failure
37,0.998083,0.249521,same_family_shared_ancestor,false,4c727b2b16e203648e3071eba86d942e,55467,NCBIGene:159686,CFAP58,23650,MONDO:0033671,spermatogenic failure 45,6,0.09772061353346377,6,0.09772061353346377,0.8571428571428571,0,0,0,0,2,,spermatogenic failure 49 via spermatogenic failure
40,0.997819,0.249455,same_family_shared_ancestor,false,7c2197f19da120e5aa8b6853b908ee17,55320,NCBIGene:124404,SEPTIN12,14037,MONDO:0014037,spermatogenic failure 11,5,0.15075144276468716,5,0.15075144276468716,0.8333333333333334,0,0,0,0,2,,spermatogenic failure 10 via spermatogenic failure
43,0.997702,0.249425,same_family_shared_ancestor,false,a3c2ff56ec9cb2b91809e0fe9a348851,55398,NCBIGene:144406,CFAP251,24747,MONDO:0054615,spermatogenic failure 18,8,0.14487007424224652,8,0.14487007424224652,1,0,0,0,0,2,,spermatogenic failure 33 via spermatogenic failure
45,0.997268,0.249317,same_family_shared_ancestor,false,70c1de89564352b1d5a6a72bb59eb5c6,55481,NCBIGene:165829,GPR156,13984,MONDO:0013984,autosomal recessive nonsyndromic hearing loss 84B,4,0.14501232970303013,4,0.14501232970303013,0.6666666666666666,0,0,0,0,2,,"hearing loss, autosomal recessive 121 via hearing loss, autosomal recessive"
46,0.996923,0.249231,same_family_shared_ancestor,false,dc2ad2a92dd6c7e09884dbb40f50d2de,53622,NCBIGene:10881,ACTL7A,26980,MONDO:0957594,spermatogenic failure 87,4,0.5085065289791032,4,0.5085065289791032,0.5714285714285714,0,0,0,0,2,,spermatogenic failure 86 via spermatogenic failure
47,0.996867,0.249217,same_family_shared_ancestor,false,b97158f133ba343e7994893eea98c21f,53448,NCBIGene:10117,ENAM,14971,MONDO:0014971,"amelogenesis imperfecta, hypomaturation type, IIa6",4,0.19547780062596937,4,0.19547780062596937,0.5,0,0,0,0,5,,amelogenesis imperfecta type 1B via amelogenesis imperfecta | amelogenesis imperfecta type 1C via amelogenesis imperfecta | amelogenesis imperfecta type 1 via amelogenesis imperfecta
